att1,att16,att30,att35,att71,att84,att90,att94,att138,att147,att152,att162,att165,att184,att241,att265,att285,att304,att327,att329,att394,att411,att459,att464,att475,att577,att585,att631,att641,att699,att709,att719,att723,att724,att730
1,11.6721,11.3078,11.0198,9.3699,8.69865,11.5014,9.92557,11.8504,9.92049,8.431,10.8914,6.53434,7.24532,7.22855,7.98958,7.24658,6.30598,10.0062,6.96239,8.38645,9.91881,9.08378,6.76343,9.56755,7.37299,10.0269,5.62928,9.91499,5.74626,6.51183,8.33027,10.8491,5.30985,4.27243
1,11.9014,11.0157,10.681,9.1014,8.47509,10.836,9.7158,12.0787,10.2746,8.72406,10.8577,6.65475,6.52651,7.04909,7.92987,7.53908,6.25975,9.16741,6.98694,8.99595,9.46515,9.0964,6.93949,9.54128,7.45729,11.2058,5.63495,9.21014,5.45521,6.34543,8.30255,9.95615,5.17158,4.269
1,11.43,10.7342,11.4001,9.10648,8.86913,11.4187,9.95248,12.18,9.21825,8.88761,10.0799,6.81583,7.17403,7.15807,8.00186,7.19905,6.26511,8.73464,6.7868,8.66274,9.70627,8.85101,7.05407,9.15565,7.32015,9.7737,5.60813,8.66136,5.99683,6.86009,8.0847,9.77015,5.46124,4.27989
1,11.6979,11.0226,11.106,9.13876,8.79405,11.127,9.94385,12.1253,10.4007,9.13254,10.0558,6.3915,6.47882,7.10128,7.65554,7.08319,6.407,9.51977,6.8413,8.98324,10.1462,9.62816,6.77553,9.73986,7.53562,11.2876,5.86175,10.1576,5.37356,6.6256,8.36968,10.3725,4.8607,4.23154
1,11.8531,10.5808,10.4087,8.92325,8.41105,11.1068,9.75393,11.6782,9.85955,8.05685,10.8041,6.78432,6.64283,7.30085,7.65652,7.1383,6.42865,10.0822,6.62255,8.32601,9.6355,9.1414,7.10574,9.74127,7.38249,10.395,5.73531,9.31821,5.82521,6.6255,8.53465,10.165,5.42962,4.29573
1,11.665,11.1492,11.2874,9.19123,8.887,11.6516,9.90752,12.3341,10.2476,10.0191,10.8394,7.10938,6.80793,7.12133,7.8599,7.52866,6.06728,9.63103,7.50472,8.96841,9.95413,9.87919,6.88823,10.4136,7.50508,11.4651,5.40596,10.5103,5.57114,6.62539,8.81848,11.006,4.84051,4.34767
1,11.4454,10.3117,10.1147,9.74724,8.32247,11.0017,8.67511,11.4928,10.1921,8.41546,10.354,5.81701,6.6588,7.24998,7.99579,7.4285,6.52865,9.30257,7.10176,8.87002,9.48864,8.61746,6.88056,9.11637,7.48108,9.82811,5.80443,8.56492,5.80878,6.61209,8.5331,10.6743,5.39997,4.21967
1,12.2108,10.8473,10.8407,9.2265,8.73046,10.7592,9.81017,12.2949,10.4929,8.14144,11.128,6.77885,6.56603,7.23146,7.75345,7.33951,6.14612,9.55675,7.58657,8.55419,9.84584,8.97348,6.78544,9.80678,6.99584,11.0102,5.43768,9.49558,5.59283,6.04891,8.75876,11.2689,5.29463,4.34327
1,11.0136,10.95,11.2116,9.71662,8.29473,10.8631,9.9326,11.5863,9.45293,8.62389,9.71238,6.63993,6.14271,6.56112,8.26915,7.07028,7.03306,8.30188,6.89354,9.03703,9.51391,9.3698,7.22188,8.96765,7.49192,11.2097,5.79142,9.57114,5.024,6.86488,7.62782,9.37472,5.37125,4.34269
1,11.9809,10.8924,10.9383,9.23664,8.66796,11.8637,10.4533,11.8999,10.189,8.60757,11.0808,6.52122,6.69416,7.13749,7.68313,7.54575,6.05405,9.86829,7.12512,8.76812,9.45172,9.24158,6.73393,10.0942,7.3505,10.3839,5.4083,10.0018,5.72743,6.54324,8.91185,10.7188,4.8693,4.22475
